px1,py1,pz1,E1,Q1,px2,py2,pz2,E2,Q2
0.0897016848234,-35.5066866921,18.7754390402,40.1654219582,-1.0,-23.5956807415,44.9663665842,5.00731050613,51.0275866139,1.0
0.0897016848234,-35.5066866921,18.7754390402,40.1654219582,-1.0,-23.5774198447,44.9315667329,4.99770428809,50.9875340397,1.0
0.0908890776713,-35.5544838288,18.80075515,40.2195119197,-1.0,-23.5774198447,44.9315667329,4.99770428809,50.9875340397,1.0
-26.5311728544,-2.30369875887,-89.093387756,92.9884566306,-1.0,30.7606073833,2.64248644646,-0.510013710207,30.8782930047,1.0
30.7698087515,2.64403321437,-0.509234539588,30.8875788262,1.0,-26.5311728544,-2.30369875887,-89.093387756,92.9884566306,-1.0
30.7698087515,2.64403321437,-0.509234539588,30.8875788262,1.0,-26.6157617658,-2.31211626545,-89.3777532684,93.2852539204,-1.0
30.7606073833,2.64248644646,-0.510013710207,30.8782930047,1.0,-26.6157617658,-2.31211626545,-89.3777532684,93.2852539204,-1.0
2.90779453698,36.0632616248,51.022309132,62.5483916735,-1.0,-4.1892442112,-36.3077181175,-7.6912523301,37.3492528447,1.0
-4.17951039171,-36.2297197462,-7.67433913405,37.2688548903,1.0,2.90779453698,36.0632616248,51.022309132,62.5483916735,-1.0
-4.17951039171,-36.2297197462,-7.67433913405,37.2688548903,1.0,2.90921860596,36.0899334455,51.0555806122,62.5909763811,-1.0
-4.1892442112,-36.3077181175,-7.6912523301,37.3492528447,1.0,2.90921860596,36.0899334455,51.0555806122,62.5909763811,-1.0
-26.6587240852,23.6089925695,84.7675968394,91.9436171663,1.0,28.9009194456,-24.461373008,10.814897493,39.3775962409,-1.0
29.0088802231,-24.5516044977,10.8529910065,39.5233474378,-1.0,-26.6587240852,23.6089925695,84.7675968394,91.9436171663,1.0
29.0088802231,-24.5516044977,10.8529910065,39.5233474378,-1.0,-26.6128025083,23.5664250452,84.6259238945,91.7887564217,1.0
28.9009194456,-24.461373008,10.814897493,39.3775962409,-1.0,-26.6128025083,23.5664250452,84.6259238945,91.7887564217,1.0
-45.6254976372,-7.32148413926,13.8042481354,48.2271561977,1.0,40.3806289812,-10.344596669,42.8179010036,59.757758385,-1.0
40.2558105729,-10.3132216076,42.6880849302,59.5749660806,-1.0,-45.6254976372,-7.32148413926,13.8042481354,48.2271561977,1.0
40.2558105729,-10.3132216076,42.6880849302,59.5749660806,-1.0,-45.5037078185,-7.30287414428,13.7663859731,48.0982737991,1.0
40.3806289812,-10.344596669,42.8179010036,59.757758385,-1.0,-45.5037078185,-7.30287414428,13.7663859731,48.0982737991,1.0
10.3998967468,-29.4772957251,70.9938327206,77.5706404748,-1.0,-1.66672490645,57.489544404,76.8583390027,95.9950057328,1.0
-1.62043911366,55.6050936585,74.3393223333,92.8487925197,1.0,10.3998967468,-29.4772957251,70.9938327206,77.5706404748,-1.0
-1.62043911366,55.6050936585,74.3393223333,92.8487925197,1.0,10.5068071024,-29.7679861824,71.7097628582,78.3506684701,-1.0
-1.66672490645,57.489544404,76.8583390027,95.9950057328,1.0,10.5068071024,-29.7679861824,71.7097628582,78.3506684701,-1.0
-39.6739827711,15.0890839127,4.80906087732,42.7181880756,-1.0,40.9201112893,-20.5585321877,25.7112157422,52.5184399261,1.0
40.8954560565,-20.5463501094,25.6991350375,52.488546696,1.0,-39.6739827711,15.0890839127,4.80906087732,42.7181880756,-1.0
